review_status,id,web_name,ques,task_family,template,capabilities,slots,interaction_type,answer_type,requires_login,live_web_risk,confidence,notes
pending,Allrecipes--0,Allrecipes,Provide a recipe for vegetarian lasagna with more than 100 reviews and a rating of at least 4.5 stars suitable for 6 people.,recipe_search,find a recipe matching {dish_and_constraints},"[""search"", ""evaluate_constraints"", ""select_result""]","{""query_text"": ""Provide a recipe for vegetarian lasagna with more than 100 reviews and a rating of at least 4.5 stars suitable for 6 people."", ""constraints"": [""100 reviews"", ""4.5 stars"", ""6 people"", ""more than 100 reviews and a rating of at least 4""], ""entities_or_request"": ""Provide a recipe for vegetarian lasagna with more than 100 reviews and a rating of at least 4.5 stars suitable for 6 people.""}","[""retrieve"", ""filter_sort"", ""navigate""]",entity,False,high,0.84,
pending,Allrecipes--1,Allrecipes,Find a recipe for a vegetarian lasagna that has at least a four-star rating and uses zucchini.,recipe_search,find a recipe matching {dish_and_constraints},"[""search"", ""evaluate_constraints"", ""select_result""]","{""query_text"": ""Find a recipe for a vegetarian lasagna that has at least a four-star rating and uses zucchini."", ""constraints"": [""at least a four-star rating and uses zucchini""], ""entities_or_request"": ""Find a recipe for a vegetarian lasagna that has at least a four-star rating and uses zucchini.""}","[""retrieve"", ""filter_sort"", ""navigate""]",entity,False,high,0.84,
pending,Allrecipes--2,Allrecipes,Find a recipe for a vegetarian lasagna under 600 calories per serving that has a prep time of less than 1 hour.,recipe_search,"find recipe matching {dish_and_constraints}, open it, and report {nutrition+time}","[""search"", ""evaluate_constraints"", ""open_result"", ""extract_nutrition"", ""extract_time""]","{""query_text"": ""Find a recipe for a vegetarian lasagna under 600 calories per serving that has a prep time of less than 1 hour."", ""constraints"": [""600"", ""1 hour"", ""under 600 calories per serving that has a prep time of less than 1 hour""], ""entities_or_request"": ""Find a recipe for a vegetarian lasagna under 600 calories per serving that has a prep time of less than 1 hour.""}","[""retrieve"", ""filter_sort"", ""navigate""]",structured_record,False,high,0.84,
pending,Allrecipes--3,Allrecipes,Locate a recipe for vegan chocolate chip cookies with over 60 reviews and a rating of at least 4.5 stars on Allrecipes.,recipe_search,"find recipe matching {dish_and_constraints}, open it, and report {time}","[""search"", ""evaluate_constraints"", ""open_result"", ""extract_time""]","{""query_text"": ""Locate a recipe for vegan chocolate chip cookies with over 60 reviews and a rating of at least 4.5 stars on Allrecipes."", ""constraints"": [""60 reviews"", ""4.5 stars"", ""over 60 reviews and a rating of at least 4""], ""entities_or_request"": ""Locate a recipe for vegan chocolate chip cookies with over 60 reviews and a rating of at least 4.5 stars on Allrecipes.""}","[""retrieve"", ""filter_sort"", ""navigate""]",structured_record,False,high,0.84,
pending,Allrecipes--4,Allrecipes,Find a recipe for Baked Salmon that takes less than 30 minutes to prepare and has at least a 4 star rating based on user reviews.,recipe_search,"find recipe matching {dish_and_constraints}, open it, and report {time}","[""search"", ""evaluate_constraints"", ""open_result"", ""extract_time""]","{""query_text"": ""Find a recipe for Baked Salmon that takes less than 30 minutes to prepare and has at least a 4 star rating based on user reviews."", ""constraints"": [""30 minutes"", ""4 star"", ""less than 30 minutes to prepare and has at least a 4 star rating based on user reviews""], ""entities_or_request"": ""Find a recipe for Baked Salmon that takes less than 30 minutes to prepare and has at least a 4 star rating based on user reviews.""}","[""retrieve"", ""filter_sort"", ""navigate""]",structured_record,False,high,0.84,
pending,Allrecipes--5,Allrecipes,Search for a popular Pasta Sauce with more than 1000 reviews and a rating above 4 stars. Create a shopping list of ingredients for this recipe.,recipe_search,"find recipe matching {dish_and_constraints}, open it, and report {ingredients}","[""search"", ""evaluate_constraints"", ""open_result"", ""extract_ingredients""]","{""query_text"": ""Search for a popular Pasta Sauce with more than 1000 reviews and a rating above 4 stars. Create a shopping list of ingredients for this recipe."", ""constraints"": [""1000 reviews"", ""4 stars"", ""more than 1000 reviews and a rating above 4 stars""], ""entities_or_request"": ""Search for a popular Pasta Sauce with more than 1000 reviews and a rating above 4 stars. Create a shopping list of ingredients for this recipe.""}","[""retrieve"", ""filter_sort"", ""navigate""]",structured_record,False,high,0.84,
pending,Allrecipes--6,Allrecipes,Search for a vegetarian lasagna recipe that has at least a four-star rating and over 500 reviews.,recipe_search,find a recipe matching {dish_and_constraints},"[""search"", ""evaluate_constraints"", ""select_result""]","{""query_text"": ""Search for a vegetarian lasagna recipe that has at least a four-star rating and over 500 reviews."", ""constraints"": [""500 reviews"", ""at least a four-star rating and over 500 reviews""], ""entities_or_request"": ""Search for a vegetarian lasagna recipe that has at least a four-star rating and over 500 reviews.""}","[""retrieve"", ""filter_sort"", ""navigate""]",entity,False,high,0.84,
pending,Allrecipes--7,Allrecipes,Find a popular recipe for a chocolate chip cookie and list the ingredients and preparation steps.,recipe_search,"find recipe matching {dish_and_constraints}, open it, and report {ingredients+steps+time}","[""search"", ""evaluate_constraints"", ""open_result"", ""extract_ingredients"", ""extract_steps"", ""extract_time""]","{""query_text"": ""Find a popular recipe for a chocolate chip cookie and list the ingredients and preparation steps."", ""constraints"": [], ""entities_or_request"": ""Find a popular recipe for a chocolate chip cookie and list the ingredients and preparation steps.""}","[""retrieve"", ""filter_sort"", ""navigate""]",structured_record,False,high,0.84,
pending,Allrecipes--8,Allrecipes,Search for a recipe for Beef Wellington on Allrecipes that has at least 200 reviews and an average rating of 4.5 stars or higher. List the main ingredients required for the dish.,recipe_search,"find recipe matching {dish_and_constraints}, open it, and report {ingredients}","[""search"", ""evaluate_constraints"", ""open_result"", ""extract_ingredients""]","{""query_text"": ""Search for a recipe for Beef Wellington on Allrecipes that has at least 200 reviews and an average rating of 4.5 stars or higher. List the main ingredients required for the dish."", ""constraints"": [""200 reviews"", ""4.5 stars"", ""at least 200 reviews and an average rating of 4""], ""entities_or_request"": ""Search for a recipe for Beef Wellington on Allrecipes that has at least 200 reviews and an average rating of 4.5 stars or higher. List the main ingredients required for the dish.""}","[""retrieve"", ""filter_sort"", ""navigate""]",structured_record,False,high,0.84,
pending,Allrecipes--9,Allrecipes,"Find a high-rated recipe for vegetarian lasagna, list the key ingredients required, and include the total preparation and cook time stated on the recipe.",recipe_search,"find recipe matching {dish_and_constraints}, open it, and report {ingredients+time}","[""search"", ""evaluate_constraints"", ""open_result"", ""extract_ingredients"", ""extract_time""]","{""query_text"": ""Find a high-rated recipe for vegetarian lasagna, list the key ingredients required, and include the total preparation and cook time stated on the recipe."", ""constraints"": [""rated recipe for vegetarian lasagna""], ""entities_or_request"": ""Find a high-rated recipe for vegetarian lasagna, list the key ingredients required, and include the total preparation and cook time stated on the recipe.""}","[""retrieve"", ""filter_sort"", ""navigate""]",structured_record,False,high,0.84,
