review_status,id,web_name,ques,template_id,template_text,slot_schema,parameters,parameter_evidence,fixed_literals,constraint_signature,route_signature,action_signature,sort_signature,output_signature,confidence,rationale
pending,Allrecipes--0,Allrecipes,Provide a recipe for vegetarian lasagna with more than 100 reviews and a rating of at least 4.5 stars suitable for 6 people.,allrecipes-v4-009,"allrecipes > search/results/recipe | navigate > apply_constraints > open_detail > extract > answer | output={""fields"":[""entity"",""rating"",""reviews""],""cardinality"":""single"",""operation"":""extract""}","[{""name"": ""dish"", ""type"": ""string"", ""operator"": ""contains"", ""required"": true}, {""name"": ""min_rating"", ""type"": ""number"", ""operator"": ""gte"", ""required"": true}, {""name"": ""min_reviews"", ""type"": ""integer"", ""operator"": ""gt"", ""required"": true}, {""name"": ""servings"", ""type"": ""integer"", ""operator"": ""eq"", ""required"": true}]","{""dish"": ""vegetarian lasagna"", ""min_rating"": 4.5, ""min_reviews"": 100, ""servings"": 6}","{""dish"": ""vegetarian lasagna"", ""min_rating"": ""at least 4.5 stars"", ""min_reviews"": ""more than 100 reviews"", ""servings"": ""6 people""}","[""Allrecipes"", ""Allrecipes find a recipe matching {dish_and_constraints}; constraints=ingredient_or_material+rating+review_count; output=entity"", ""search/results/recipe""]","[{""name"": ""dish"", ""type"": ""string"", ""operator"": ""contains"", ""required"": true}, {""name"": ""min_rating"", ""type"": ""number"", ""operator"": ""gte"", ""required"": true}, {""name"": ""min_reviews"", ""type"": ""integer"", ""operator"": ""gt"", ""required"": true}, {""name"": ""servings"", ""type"": ""integer"", ""operator"": ""eq"", ""required"": true}]","[""allrecipes"", ""search/results/recipe""]","[""navigate"", ""apply_constraints"", ""open_detail"", ""extract"", ""answer""]","{""key"": null, ""direction"": null}","{""fields"": [""entity"", ""rating"", ""reviews""], ""cardinality"": ""single"", ""operation"": ""extract""}",0.9,仅抽取了能由原文短语直接证明其名称、类型、operator 与具体值的槽；其他要求保守地固定，不作猜测。
pending,Allrecipes--1,Allrecipes,Find a recipe for a vegetarian lasagna that has at least a four-star rating and uses zucchini.,allrecipes-v4-035,"allrecipes > search/results/recipe | navigate > search > apply_constraints > extract > answer | output={""fields"":[""entity"",""rating""],""cardinality"":""single"",""operation"":""extract""}","[{""name"": ""dish"", ""type"": ""string"", ""operator"": ""contains"", ""required"": true}]","{""dish"": ""vegetarian lasagna""}","{""dish"": ""vegetarian lasagna""}","[""Allrecipes"", ""Allrecipes find a recipe matching {dish_and_constraints}; constraints=ingredient_or_material+rating; output=entity"", ""search/results/recipe""]","[{""name"": ""dish"", ""type"": ""string"", ""operator"": ""contains"", ""required"": true}]","[""allrecipes"", ""search/results/recipe""]","[""navigate"", ""search"", ""apply_constraints"", ""extract"", ""answer""]","{""key"": null, ""direction"": null}","{""fields"": [""entity"", ""rating""], ""cardinality"": ""single"", ""operation"": ""extract""}",0.9,仅抽取了能由原文短语直接证明其名称、类型、operator 与具体值的槽；其他要求保守地固定，不作猜测。
pending,Allrecipes--2,Allrecipes,Find a recipe for a vegetarian lasagna under 600 calories per serving that has a prep time of less than 1 hour.,allrecipes-v4-033,"allrecipes > search/results/recipe | navigate > search > apply_constraints > extract > answer | output={""fields"":[""entity"",""nutrition"",""time""],""cardinality"":""single"",""operation"":""extract""}","[{""name"": ""dish"", ""type"": ""string"", ""operator"": ""contains"", ""required"": true}]","{""dish"": ""vegetarian lasagna""}","{""dish"": ""vegetarian lasagna""}","[""Allrecipes"", ""Allrecipes find recipe matching {dish_and_constraints}, open it, and report {nutrition+time}; constraints=ingredient_or_material+time_or_date; output=structured_record"", ""search/results/recipe""]","[{""name"": ""dish"", ""type"": ""string"", ""operator"": ""contains"", ""required"": true}]","[""allrecipes"", ""search/results/recipe""]","[""navigate"", ""search"", ""apply_constraints"", ""extract"", ""answer""]","{""key"": null, ""direction"": null}","{""fields"": [""entity"", ""nutrition"", ""time""], ""cardinality"": ""single"", ""operation"": ""extract""}",0.9,仅抽取了能由原文短语直接证明其名称、类型、operator 与具体值的槽；其他要求保守地固定，不作猜测。
pending,Allrecipes--3,Allrecipes,Locate a recipe for vegan chocolate chip cookies with over 60 reviews and a rating of at least 4.5 stars on Allrecipes.,allrecipes-v4-015,"allrecipes > search/results/recipe | navigate > search > apply_constraints > open_detail > extract > answer | output={""fields"":[""entity"",""rating"",""reviews"",""time""],""cardinality"":""single"",""operation"":""extract""}","[{""name"": ""dish"", ""type"": ""string"", ""operator"": ""contains"", ""required"": true}, {""name"": ""min_rating"", ""type"": ""number"", ""operator"": ""gte"", ""required"": true}, {""name"": ""min_reviews"", ""type"": ""integer"", ""operator"": ""gt"", ""required"": true}]","{""dish"": ""vegan chocolate chip cookies"", ""min_rating"": 4.5, ""min_reviews"": 60}","{""dish"": ""vegan chocolate chip cookies"", ""min_rating"": ""at least 4.5 stars"", ""min_reviews"": ""more than 60 reviews""}","[""Allrecipes"", ""Allrecipes find a recipe matching {dish_and_constraints}; constraints=ingredient_or_material+rating+review_count; output=structured_record"", ""search/results/recipe""]","[{""name"": ""dish"", ""type"": ""string"", ""operator"": ""contains"", ""required"": true}, {""name"": ""min_rating"", ""type"": ""number"", ""operator"": ""gte"", ""required"": true}, {""name"": ""min_reviews"", ""type"": ""integer"", ""operator"": ""gt"", ""required"": true}]","[""allrecipes"", ""search/results/recipe""]","[""navigate"", ""search"", ""apply_constraints"", ""open_detail"", ""extract"", ""answer""]","{""key"": null, ""direction"": null}","{""fields"": [""entity"", ""rating"", ""reviews"", ""time""], ""cardinality"": ""single"", ""operation"": ""extract""}",0.9,仅抽取了能由原文短语直接证明其名称、类型、operator 与具体值的槽；其他要求保守地固定，不作猜测。
pending,Allrecipes--4,Allrecipes,Find a recipe for Baked Salmon that takes less than 30 minutes to prepare and has at least a 4 star rating based on user reviews.,allrecipes-v4-023,"allrecipes > search/results/recipe | navigate > search > open_detail > extract > answer | output={""fields"":[""entity"",""rating"",""reviews"",""time""],""cardinality"":""single"",""operation"":""extract""}","[{""name"": ""dish"", ""type"": ""string"", ""operator"": ""contains"", ""required"": true}, {""name"": ""min_rating"", ""type"": ""number"", ""operator"": ""gte"", ""required"": true}]","{""dish"": ""Baked Salmon"", ""min_rating"": 4}","{""dish"": ""Baked Salmon"", ""min_rating"": ""at least 4 stars""}","[""Allrecipes"", ""Allrecipes find a recipe matching {dish_and_constraints}; constraints=rating; output=structured_record"", ""search/results/recipe""]","[{""name"": ""dish"", ""type"": ""string"", ""operator"": ""contains"", ""required"": true}, {""name"": ""min_rating"", ""type"": ""number"", ""operator"": ""gte"", ""required"": true}]","[""allrecipes"", ""search/results/recipe""]","[""navigate"", ""search"", ""open_detail"", ""extract"", ""answer""]","{""key"": null, ""direction"": null}","{""fields"": [""entity"", ""rating"", ""reviews"", ""time""], ""cardinality"": ""single"", ""operation"": ""extract""}",0.9,仅抽取了能由原文短语直接证明其名称、类型、operator 与具体值的槽；其他要求保守地固定，不作猜测。
pending,Allrecipes--5,Allrecipes,Search for a popular Pasta Sauce with more than 1000 reviews and a rating above 4 stars. Create a shopping list of ingredients for this recipe.,allrecipes-v4-013,"allrecipes > search/results/recipe | navigate > search > apply_constraints > open_detail > extract > answer | output={""fields"":[""entity"",""ingredients"",""rating"",""reviews""],""cardinality"":""list_all"",""operation"":""extract""}","[{""name"": ""dish"", ""type"": ""string"", ""operator"": ""contains"", ""required"": true}, {""name"": ""min_rating"", ""type"": ""number"", ""operator"": ""gte"", ""required"": true}, {""name"": ""min_reviews"", ""type"": ""integer"", ""operator"": ""gt"", ""required"": true}]","{""dish"": ""popular Pasta Sauce"", ""min_rating"": 4, ""min_reviews"": 1000}","{""dish"": ""popular Pasta Sauce"", ""min_rating"": ""at least 4 stars"", ""min_reviews"": ""more than 1000 reviews""}","[""Allrecipes"", ""Allrecipes find recipe matching {dish_and_constraints}, open it, and report {ingredients}; constraints=ingredient_or_material+rating+review_count; output=structured_record"", ""search/results/recipe""]","[{""name"": ""dish"", ""type"": ""string"", ""operator"": ""contains"", ""required"": true}, {""name"": ""min_rating"", ""type"": ""number"", ""operator"": ""gte"", ""required"": true}, {""name"": ""min_reviews"", ""type"": ""integer"", ""operator"": ""gt"", ""required"": true}]","[""allrecipes"", ""search/results/recipe""]","[""navigate"", ""search"", ""apply_constraints"", ""open_detail"", ""extract"", ""answer""]","{""key"": null, ""direction"": null}","{""fields"": [""entity"", ""ingredients"", ""rating"", ""reviews""], ""cardinality"": ""list_all"", ""operation"": ""extract""}",0.9,仅抽取了能由原文短语直接证明其名称、类型、operator 与具体值的槽；其他要求保守地固定，不作猜测。
pending,Allrecipes--6,Allrecipes,Search for a vegetarian lasagna recipe that has at least a four-star rating and over 500 reviews.,allrecipes-v4-025,"allrecipes > search/results/recipe | navigate > search > apply_constraints > open_detail > extract > answer | output={""fields"":[""entity"",""rating"",""reviews""],""cardinality"":""single"",""operation"":""extract""}","[{""name"": ""dish"", ""type"": ""string"", ""operator"": ""contains"", ""required"": true}, {""name"": ""min_reviews"", ""type"": ""integer"", ""operator"": ""gt"", ""required"": true}]","{""dish"": ""vegetarian lasagna recipe"", ""min_reviews"": 500}","{""dish"": ""vegetarian lasagna recipe"", ""min_reviews"": ""more than 500 reviews""}","[""Allrecipes"", ""Allrecipes find a recipe matching {dish_and_constraints}; constraints=ingredient_or_material+rating+review_count; output=entity"", ""search/results/recipe""]","[{""name"": ""dish"", ""type"": ""string"", ""operator"": ""contains"", ""required"": true}, {""name"": ""min_reviews"", ""type"": ""integer"", ""operator"": ""gt"", ""required"": true}]","[""allrecipes"", ""search/results/recipe""]","[""navigate"", ""search"", ""apply_constraints"", ""open_detail"", ""extract"", ""answer""]","{""key"": null, ""direction"": null}","{""fields"": [""entity"", ""rating"", ""reviews""], ""cardinality"": ""single"", ""operation"": ""extract""}",0.9,仅抽取了能由原文短语直接证明其名称、类型、operator 与具体值的槽；其他要求保守地固定，不作猜测。
pending,Allrecipes--7,Allrecipes,Find a popular recipe for a chocolate chip cookie and list the ingredients and preparation steps.,allrecipes-v4-007,"allrecipes > search/results/recipe | navigate > search > open_detail > extract > answer | output={""fields"":[""entity"",""ingredients"",""instructions"",""time""],""cardinality"":""list_all"",""operation"":""extract""}",[],{},{},"[""Allrecipes"", ""Allrecipes find recipe matching {dish_and_constraints}, open it, and report {ingredients+steps+time}; constraints=ingredient_or_material; output=structured_record"", ""search/results/recipe"", ""Find a popular recipe for a chocolate chip cookie and list the ingredients and preparation steps.""]",[],"[""allrecipes"", ""search/results/recipe""]","[""navigate"", ""search"", ""open_detail"", ""extract"", ""answer""]","{""key"": null, ""direction"": null}","{""fields"": [""entity"", ""ingredients"", ""instructions"", ""time""], ""cardinality"": ""list_all"", ""operation"": ""extract""}",0.8,未能可靠识别可替换 typed slot；为避免伪造参数，将任务要求保守地视为固定 literal。
pending,Allrecipes--8,Allrecipes,Search for a recipe for Beef Wellington on Allrecipes that has at least 200 reviews and an average rating of 4.5 stars or higher. List the main ingredients required for the dish.,allrecipes-v4-021,"allrecipes > search/results/recipe | navigate > search > apply_constraints > open_detail > extract > answer | output={""fields"":[""entity"",""ingredients"",""rating"",""reviews""],""cardinality"":""list_all"",""operation"":""extract""}","[{""name"": ""dish"", ""type"": ""string"", ""operator"": ""contains"", ""required"": true}, {""name"": ""min_rating"", ""type"": ""number"", ""operator"": ""gte"", ""required"": true}, {""name"": ""min_reviews"", ""type"": ""integer"", ""operator"": ""gte"", ""required"": true}]","{""dish"": ""recipe for Beef Wellington"", ""min_rating"": 4.5, ""min_reviews"": 200}","{""dish"": ""recipe for Beef Wellington"", ""min_rating"": ""at least 4.5 stars"", ""min_reviews"": ""at least 200 reviews""}","[""Allrecipes"", ""Allrecipes find recipe matching {dish_and_constraints}, open it, and report {ingredients}; constraints=ingredient_or_material+rating+review_count; output=structured_record"", ""search/results/recipe""]","[{""name"": ""dish"", ""type"": ""string"", ""operator"": ""contains"", ""required"": true}, {""name"": ""min_rating"", ""type"": ""number"", ""operator"": ""gte"", ""required"": true}, {""name"": ""min_reviews"", ""type"": ""integer"", ""operator"": ""gte"", ""required"": true}]","[""allrecipes"", ""search/results/recipe""]","[""navigate"", ""search"", ""apply_constraints"", ""open_detail"", ""extract"", ""answer""]","{""key"": null, ""direction"": null}","{""fields"": [""entity"", ""ingredients"", ""rating"", ""reviews""], ""cardinality"": ""list_all"", ""operation"": ""extract""}",0.9,仅抽取了能由原文短语直接证明其名称、类型、operator 与具体值的槽；其他要求保守地固定，不作猜测。
pending,Allrecipes--9,Allrecipes,"Find a high-rated recipe for vegetarian lasagna, list the key ingredients required, and include the total preparation and cook time stated on the recipe.",allrecipes-v4-006,"allrecipes > search/results/recipe | navigate > search > apply_constraints > open_detail > extract > answer | output={""fields"":[""entity"",""ingredients"",""time""],""cardinality"":""list_all"",""operation"":""extract""}",[],{},{},"[""Allrecipes"", ""Allrecipes find recipe matching {dish_and_constraints}, open it, and report {ingredients+time}; constraints=ingredient_or_material+rating+time_or_date; output=structured_record"", ""search/results/recipe"", ""Find a high-rated recipe for vegetarian lasagna, list the key ingredients required, and include the total preparation and cook time stated on the recipe.""]",[],"[""allrecipes"", ""search/results/recipe""]","[""navigate"", ""search"", ""apply_constraints"", ""open_detail"", ""extract"", ""answer""]","{""key"": null, ""direction"": null}","{""fields"": [""entity"", ""ingredients"", ""time""], ""cardinality"": ""list_all"", ""operation"": ""extract""}",0.8,未能可靠识别可替换 typed slot；为避免伪造参数，将任务要求保守地视为固定 literal。
